num_passengers,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,flight_duration,sales_channel_Internet,sales_channel_Mobile,trip_type_CircleTrip,trip_type_OneWay,trip_type_RoundTrip,booking_complete,total_service_preferences
1,35,20,2,1,HKTMEL,Australia,8.83,True,False,False,False,True,0,1
1,155,24,23,1,AKLKUL,Hungary,8.83,False,True,False,False,True,0,1
2,21,5,13,2,LGKTPE,Malaysia,4.67,True,False,False,False,True,0,0
2,172,40,7,6,PEKPEN,Malaysia,6.42,True,False,False,False,True,0,1
1,9,22,2,5,MELPEN,Australia,8.83,True,False,False,False,True,0,2
4,32,5,14,1,KIXPEN,Malaysia,7.0,True,False,False,False,True,0,2
1,54,32,23,0,MELPEN,Australia,8.83,True,False,False,False,True,0,2
2,149,22,8,6,AKLKUL,New Zealand,8.83,True,False,False,False,True,0,0
1,295,26,15,1,ICNOOL,Malaysia,8.83,False,True,False,False,True,0,0
1,46,31,12,1,CMBMEL,Australia,8.83,True,False,False,False,True,0,3
1,34,32,2,4,DMKPER,Australia,5.62,True,False,False,False,True,0,0
1,18,23,21,4,HYDSYD,Australia,8.58,True,False,False,False,True,0,2
2,35,3,16,4,PENTPE,Taiwan,4.67,True,False,False,False,True,0,1
1,8,6,2,6,DADMEL,Vietnam,8.83,True,False,False,False,True,0,2
2,287,26,12,0,HDYMEL,Thailand,8.83,True,False,False,False,True,0,1
1,168,28,6,2,AKLKUL,New Zealand,8.83,True,False,False,False,True,0,0
1,30,17,12,1,CNXMEL,Australia,8.83,True,False,False,False,True,0,0
2,121,17,13,6,BKIOOL,Malaysia,8.83,True,False,False,False,True,0,2
1,109,43,1,3,COKOOL,Australia,8.83,True,False,False,False,True,0,0
2,15,90,15,5,COKSYD,Australia,8.58,True,False,False,False,True,0,3
1,18,22,12,1,OOLTPE,Australia,8.83,True,False,False,False,True,0,2
1,14,5,0,4,HKTOOL,Australia,8.83,True,False,False,False,True,0,3
1,20,6,1,6,ICNPEN,South Korea,6.62,True,False,False,False,True,0,1
1,1,3,12,0,PENPVG,Malaysia,5.33,True,False,False,False,True,0,1
1,225,29,8,3,SBWTPE,Malaysia,4.67,True,False,False,False,True,0,1
1,26,5,0,5,HKTSYD,Australia,8.58,False,True,False,False,True,0,2
2,98,50,14,5,PEKTRZ,China,6.42,True,False,False,False,True,0,2
2,198,6,13,3,CTSDMK,Thailand,8.67,True,False,False,False,True,0,1
2,25,4,2,3,CTSSYD,Australia,8.67,True,False,False,False,True,0,3
1,113,5,2,5,SBWTPE,Malaysia,4.67,True,False,False,False,True,0,1
2,52,5,13,5,KNOPEK,China,6.42,True,False,False,False,True,0,1
1,56,43,6,2,PNHSYD,Australia,8.58,True,False,False,False,True,0,3
1,30,18,11,2,PNHSYD,Australia,8.58,True,False,False,False,True,0,2
1,16,5,2,5,ICNSIN,South Korea,6.62,True,False,False,False,True,0,1
